id,merchant_id,shopper_id,amount,created_at,completed_at
161,12,274,272.12,06/01/2018 04:12:00,07/01/2018 13:37:35
162,6,236,209.73,06/01/2018 04:48:00,07/01/2018 18:21:16
163,6,397,409.36,06/01/2018 05:24:00,08/01/2018 23:50:38
164,14,279,26.86,06/01/2018 06:00:00,08/01/2018 20:18:20
166,10,345,293.55,06/01/2018 07:12:00,08/01/2018 03:17:44
168,2,251,208.94,06/01/2018 08:24:00,08/01/2018 09:58:03
169,11,182,351.14,06/01/2018 09:00:00,07/01/2018 22:33:59
170,12,348,251.86,06/01/2018 09:36:00,07/01/2018 22:49:11
171,8,69,142.02,06/01/2018 10:12:00,07/01/2018 23:45:56
173,14,185,257.89,06/01/2018 11:24:00,08/01/2018 22:33:23
174,4,91,62.28,06/01/2018 12:00:00,07/01/2018 22:37:16
175,14,400,418.47,06/01/2018 12:36:00,07/01/2018 17:22:44
176,2,15,419.63,06/01/2018 13:12:00,09/01/2018 01:16:00
177,11,161,213.77,06/01/2018 13:48:00,09/01/2018 01:31:56
178,8,380,207,06/01/2018 14:24:00,08/01/2018 17:45:13
180,12,368,124.66,06/01/2018 15:36:00,08/01/2018 02:10:47
181,2,103,435.27,06/01/2018 16:12:00,08/01/2018 14:28:31
182,5,146,323.64,06/01/2018 16:48:00,07/01/2018 22:55:12
183,13,156,113.86,06/01/2018 17:24:00,08/01/2018 03:57:25
184,13,138,144.35,06/01/2018 18:00:00,08/01/2018 15:45:58
186,3,139,48.11,06/01/2018 19:12:00,09/01/2018 08:15:37
187,4,81,178.58,06/01/2018 19:48:00,08/01/2018 03:54:42
188,14,286,446.76,06/01/2018 20:24:00,09/01/2018 07:43:18
189,9,138,301.13,06/01/2018 21:00:00,09/01/2018 10:03:32
190,3,262,281,06/01/2018 21:36:00,07/01/2018 22:06:03
193,12,177,366.07,06/01/2018 23:24:00,09/01/2018 06:18:45
194,7,266,280.45,07/01/2018 00:00:00,08/01/2018 12:31:19
195,10,195,109.06,07/01/2018 00:55:00,08/01/2018 08:36:31
196,7,25,219.23,07/01/2018 01:50:00,08/01/2018 02:53:21
197,6,260,136.21,07/01/2018 02:45:00,09/01/2018 04:15:20
198,13,196,287.35,07/01/2018 03:40:00,09/01/2018 15:11:48
201,12,162,403.13,07/01/2018 06:25:00,09/01/2018 20:31:48
202,6,223,271.24,07/01/2018 07:20:00,10/01/2018 00:40:39
203,4,42,314.3,07/01/2018 08:15:00,08/01/2018 18:01:09
204,11,398,354.92,07/01/2018 09:10:00,09/01/2018 14:09:20
205,11,71,227.59,07/01/2018 10:05:00,09/01/2018 04:28:42
207,6,278,166.79,07/01/2018 11:55:00,09/01/2018 06:57:41
208,9,97,86.03,07/01/2018 12:50:00,09/01/2018 20:25:10
209,6,142,202.46,07/01/2018 13:45:00,09/01/2018 22:42:43
210,12,39,317.6,07/01/2018 14:40:00,10/01/2018 03:33:53
211,3,327,422.85,07/01/2018 15:35:00,09/01/2018 15:09:16
214,6,41,223.94,07/01/2018 18:20:00,09/01/2018 20:04:03
215,2,48,207.83,07/01/2018 19:15:00,08/01/2018 20:32:01
217,6,300,170.68,07/01/2018 21:05:00,09/01/2018 13:27:49
218,13,187,77.01,07/01/2018 22:00:00,09/01/2018 22:49:50
220,14,218,36.22,07/01/2018 23:50:00,10/01/2018 01:07:51
221,9,348,275.33,08/01/2018 01:00:00,09/01/2018 11:51:50
224,3,6,73.68,08/01/2018 04:00:00,09/01/2018 17:13:31
226,9,289,103.63,08/01/2018 06:00:00,10/01/2018 08:39:15
227,10,17,146.72,08/01/2018 07:00:00,09/01/2018 23:40:31
229,13,218,447.99,08/01/2018 09:00:00,09/01/2018 15:45:15
230,8,348,264.6,08/01/2018 10:00:00,09/01/2018 14:11:17
232,4,139,230.26,08/01/2018 12:00:00,10/01/2018 16:06:09
233,8,168,218.68,08/01/2018 13:00:00,10/01/2018 22:26:36
234,1,253,419.62,08/01/2018 14:00:00,10/01/2018 11:38:41
236,2,248,363.88,08/01/2018 16:00:00,09/01/2018 17:58:52
237,10,254,71.74,08/01/2018 17:00:00,10/01/2018 23:57:46
239,9,266,384.08,08/01/2018 19:00:00,09/01/2018 22:28:05
241,3,62,275.58,08/01/2018 21:00:00,
246,7,98,297.86,09/01/2018 01:16:00,
251,8,252,137.81,09/01/2018 04:26:00,
253,13,100,168.56,09/01/2018 05:42:00,
261,4,123,128.22,09/01/2018 10:46:00,
263,13,153,180.55,09/01/2018 12:02:00,
266,10,335,370.06,09/01/2018 13:56:00,
273,10,319,67.87,09/01/2018 18:22:00,
275,12,327,312.94,09/01/2018 19:38:00,
283,6,351,282.67,10/01/2018 01:36:00,
287,14,154,279.96,10/01/2018 04:48:00,
299,12,127,26.08,10/01/2018 14:24:00,
304,9,284,353.6,10/01/2018 18:24:00,
306,2,351,371.93,10/01/2018 20:00:00,
314,14,338,41.27,11/01/2018 01:48:00,
325,4,177,361.25,11/01/2018 08:24:00,
333,7,385,41.54,11/01/2018 13:12:00,
341,2,78,405.42,11/01/2018 18:00:00,
343,8,106,317.14,11/01/2018 19:12:00,
358,9,42,148.14,12/01/2018 05:57:00,
359,3,338,417.3,12/01/2018 06:48:00,
244,9,151,101.04,09/01/2018 00:00:00,11/01/2018 06:13:17
245,8,53,175.93,09/01/2018 00:38:00,10/01/2018 21:54:15
247,4,354,333.85,09/01/2018 01:54:00,10/01/2018 10:59:49
248,14,358,421.12,09/01/2018 02:32:00,11/01/2018 12:10:37
249,4,139,403.38,09/01/2018 03:10:00,10/01/2018 22:46:31
250,13,98,59.11,09/01/2018 03:48:00,11/01/2018 04:30:16
254,8,36,278.58,09/01/2018 06:20:00,10/01/2018 17:40:59
255,10,150,415.7,09/01/2018 06:58:00,11/01/2018 05:28:01
256,5,163,213.01,09/01/2018 07:36:00,11/01/2018 09:39:18
257,8,237,107,09/01/2018 08:14:00,10/01/2018 10:36:05
258,13,376,346.9,09/01/2018 08:52:00,11/01/2018 11:39:02
260,6,295,60.27,09/01/2018 10:08:00,11/01/2018 06:30:06
262,12,38,404.5,09/01/2018 11:24:00,10/01/2018 19:37:22
264,5,201,202.13,09/01/2018 12:40:00,10/01/2018 12:49:00
265,1,352,341.27,09/01/2018 13:18:00,10/01/2018 17:04:02
267,4,247,80.68,09/01/2018 14:34:00,11/01/2018 04:42:07
269,12,163,354.64,09/01/2018 15:50:00,11/01/2018 08:46:05
270,5,195,205.09,09/01/2018 16:28:00,12/01/2018 01:58:17
271,8,262,378.31,09/01/2018 17:06:00,11/01/2018 05:21:11
272,3,44,326.51,09/01/2018 17:44:00,11/01/2018 11:41:02
274,2,105,52.64,09/01/2018 19:00:00,11/01/2018 10:34:16
276,2,147,432.04,09/01/2018 20:16:00,11/01/2018 23:22:26
278,2,330,27.38,09/01/2018 21:32:00,11/01/2018 13:19:05
279,1,175,62.17,09/01/2018 22:10:00,12/01/2018 05:13:55
280,13,47,249.09,09/01/2018 22:48:00,11/01/2018 17:40:19
281,7,52,227.96,09/01/2018 23:26:00,11/01/2018 16:12:02
282,1,314,385.59,10/01/2018 00:48:00,11/01/2018 14:13:45
285,13,346,234.57,10/01/2018 03:12:00,11/01/2018 09:55:23
286,9,123,166.09,10/01/2018 04:00:00,11/01/2018 11:34:22
288,12,232,159.88,10/01/2018 05:36:00,11/01/2018 12:46:18
289,8,31,74.43,10/01/2018 06:24:00,11/01/2018 15:10:53
290,12,132,307.94,10/01/2018 07:12:00,12/01/2018 02:58:26
292,12,192,157.08,10/01/2018 08:48:00,11/01/2018 18:35:17
293,2,307,296.92,10/01/2018 09:36:00,11/01/2018 11:04:23
294,6,396,147.54,10/01/2018 10:24:00,11/01/2018 16:59:24
295,2,385,358.77,10/01/2018 11:12:00,12/01/2018 13:43:37
296,11,49,225.59,10/01/2018 12:00:00,13/01/2018 01:17:54
297,1,381,26.11,10/01/2018 12:48:00,12/01/2018 12:28:40
300,9,242,36.53,10/01/2018 15:12:00,11/01/2018 19:49:01
301,4,132,450.44,10/01/2018 16:00:00,13/01/2018 06:55:54
302,8,92,90.63,10/01/2018 16:48:00,12/01/2018 16:29:21
303,1,389,417.7,10/01/2018 17:36:00,13/01/2018 04:44:13
305,7,305,449.02,10/01/2018 19:12:00,13/01/2018 03:22:50
308,2,217,96.26,10/01/2018 21:36:00,13/01/2018 05:29:23
309,14,135,389.13,10/01/2018 22:24:00,12/01/2018 10:42:59
310,10,203,204.64,10/01/2018 23:12:00,12/01/2018 22:17:32
311,14,247,351.64,11/01/2018 00:00:00,13/01/2018 15:01:17
312,1,123,124.65,11/01/2018 00:36:00,12/01/2018 20:28:57
315,6,53,402.35,11/01/2018 02:24:00,13/01/2018 14:32:19
316,1,108,338.43,11/01/2018 03:00:00,12/01/2018 12:47:39
317,13,308,263.99,11/01/2018 03:36:00,12/01/2018 16:43:00
318,1,369,438.25,11/01/2018 04:12:00,13/01/2018 01:55:35
319,11,168,197.87,11/01/2018 04:48:00,13/01/2018 05:07:35
320,3,338,370.95,11/01/2018 05:24:00,12/01/2018 12:58:59
322,10,384,414.17,11/01/2018 06:36:00,13/01/2018 07:50:13
323,9,154,358.8,11/01/2018 07:12:00,13/01/2018 01:02:55
324,7,335,233.79,11/01/2018 07:48:00,13/01/2018 19:35:01
326,9,397,263.63,11/01/2018 09:00:00,13/01/2018 23:57:17
327,3,224,38.53,11/01/2018 09:36:00,13/01/2018 07:44:04
329,3,106,253.3,11/01/2018 10:48:00,12/01/2018 13:18:42
330,3,360,418.91,11/01/2018 11:24:00,12/01/2018 17:30:53
331,13,238,133.63,11/01/2018 12:00:00,13/01/2018 08:35:19
332,4,60,106.25,11/01/2018 12:36:00,13/01/2018 21:16:52
334,2,22,238.91,11/01/2018 13:48:00,14/01/2018 07:25:35
336,10,295,140.11,11/01/2018 15:00:00,13/01/2018 12:13:31
337,3,22,238.25,11/01/2018 15:36:00,13/01/2018 00:30:35
338,10,286,145.62,11/01/2018 16:12:00,14/01/2018 08:39:29
339,2,287,273.76,11/01/2018 16:48:00,14/01/2018 07:42:49
340,11,237,236.79,11/01/2018 17:24:00,12/01/2018 21:45:33
342,7,396,25.49,11/01/2018 18:36:00,14/01/2018 06:26:15
345,3,345,382.46,11/01/2018 20:24:00,13/01/2018 19:03:41
346,13,235,326.82,11/01/2018 21:00:00,13/01/2018 08:39:31
347,12,33,209.86,11/01/2018 21:36:00,14/01/2018 06:26:53
348,9,76,226.09,11/01/2018 22:12:00,13/01/2018 02:11:52
349,1,361,354.9,11/01/2018 22:48:00,13/01/2018 08:42:04
351,10,79,422.88,12/01/2018 00:00:00,13/01/2018 11:10:00
352,8,211,52.68,12/01/2018 00:51:00,14/01/2018 17:24:15
353,6,220,180.74,12/01/2018 01:42:00,14/01/2018 17:25:37
354,14,233,255.63,12/01/2018 02:33:00,14/01/2018 13:39:29
355,13,165,163.21,12/01/2018 03:24:00,13/01/2018 16:21:24
357,7,393,165.38,12/01/2018 05:06:00,13/01/2018 21:19:08
360,5,334,288.8,12/01/2018 07:39:00,13/01/2018 18:55:11
372,5,305,346.64,12/01/2018 17:51:00,
377,1,269,182.36,12/01/2018 22:06:00,
387,2,302,375.11,13/01/2018 07:36:00,
393,5,44,85.19,13/01/2018 13:18:00,
397,10,356,278.02,13/01/2018 17:06:00,
407,14,361,322.94,14/01/2018 01:48:00,
408,4,246,386.37,14/01/2018 02:24:00,
409,4,168,243.75,14/01/2018 03:00:00,
419,4,298,104.57,14/01/2018 09:00:00,
420,13,54,36.25,14/01/2018 09:36:00,
426,1,115,352.82,14/01/2018 13:12:00,
449,10,137,40.31,15/01/2018 03:05:00,
450,9,256,269.79,15/01/2018 03:42:00,
451,6,190,110.09,15/01/2018 04:19:00,
452,3,211,216.77,15/01/2018 04:56:00,
454,14,78,441.42,15/01/2018 06:10:00,
458,8,35,145.98,15/01/2018 08:38:00,
459,3,233,436.33,15/01/2018 09:15:00,
461,5,236,441.42,15/01/2018 10:29:00,
474,3,366,167.42,15/01/2018 18:30:00,
475,12,14,28.23,15/01/2018 19:07:00,
363,2,50,144.77,12/01/2018 10:12:00,15/01/2018 01:05:09
364,12,221,364.68,12/01/2018 11:03:00,14/01/2018 02:28:26
365,10,223,329.43,12/01/2018 11:54:00,13/01/2018 14:33:36
366,3,237,379.61,12/01/2018 12:45:00,15/01/2018 01:19:59
367,13,361,427.39,12/01/2018 13:36:00,14/01/2018 04:27:24
368,3,316,202.05,12/01/2018 14:27:00,14/01/2018 20:26:40
370,11,268,443.62,12/01/2018 16:09:00,14/01/2018 03:15:59
371,11,326,411.09,12/01/2018 17:00:00,14/01/2018 22:45:15
373,6,150,277.01,12/01/2018 18:42:00,15/01/2018 08:01:35
374,7,11,79.97,12/01/2018 19:33:00,15/01/2018 00:05:32
375,11,251,226.15,12/01/2018 20:24:00,14/01/2018 18:00:10
378,5,332,377.75,12/01/2018 22:57:00,15/01/2018 05:41:01
379,8,82,47.14,12/01/2018 23:48:00,15/01/2018 17:03:43
380,8,43,83.22,13/01/2018 00:57:00,15/01/2018 01:06:32
381,7,7,356.33,13/01/2018 01:54:00,15/01/2018 05:48:22
382,4,242,130.87,13/01/2018 02:51:00,15/01/2018 14:42:34
384,4,365,295.2,13/01/2018 04:45:00,14/01/2018 05:34:37
385,1,244,249.23,13/01/2018 05:42:00,14/01/2018 15:45:26
386,7,287,444.54,13/01/2018 06:39:00,15/01/2018 01:27:56
388,1,240,170.98,13/01/2018 08:33:00,15/01/2018 13:28:24
389,4,232,374.97,13/01/2018 09:30:00,15/01/2018 12:28:54
390,13,329,77.36,13/01/2018 10:27:00,14/01/2018 11:31:25
392,7,371,134.87,13/01/2018 12:21:00,15/01/2018 03:24:39
394,7,117,74.56,13/01/2018 14:15:00,15/01/2018 04:50:10
395,8,177,167.33,13/01/2018 15:12:00,14/01/2018 18:50:48
396,8,392,329.92,13/01/2018 16:09:00,15/01/2018 00:25:28
398,12,38,165.33,13/01/2018 18:03:00,15/01/2018 18:41:59
400,10,278,425.78,13/01/2018 19:57:00,16/01/2018 07:05:06
401,13,121,132.63,13/01/2018 20:54:00,16/01/2018 07:50:03
402,10,167,365.77,13/01/2018 21:51:00,15/01/2018 04:24:00
403,9,39,378.48,13/01/2018 22:48:00,15/01/2018 07:58:36
404,2,343,233.11,13/01/2018 23:45:00,15/01/2018 04:55:58
406,1,324,146.42,14/01/2018 01:12:00,15/01/2018 15:01:27
410,13,114,82.94,14/01/2018 03:36:00,16/01/2018 16:40:14
411,10,117,71.73,14/01/2018 04:12:00,15/01/2018 09:57:03
412,3,142,182.21,14/01/2018 04:48:00,15/01/2018 23:33:20
413,3,141,228.16,14/01/2018 05:24:00,16/01/2018 18:21:48
414,4,286,426.55,14/01/2018 06:00:00,16/01/2018 10:21:56
416,14,143,410.19,14/01/2018 07:12:00,15/01/2018 20:44:39
417,9,364,157.12,14/01/2018 07:48:00,15/01/2018 23:12:48
418,14,117,265.09,14/01/2018 08:24:00,16/01/2018 00:47:27
421,5,287,259.81,14/01/2018 10:12:00,15/01/2018 14:31:13
422,14,26,387.48,14/01/2018 10:48:00,16/01/2018 01:27:23
424,14,71,208.69,14/01/2018 12:00:00,16/01/2018 17:15:26
425,12,273,149.43,14/01/2018 12:36:00,16/01/2018 20:34:58
427,14,165,46.44,14/01/2018 13:48:00,17/01/2018 05:44:33
428,5,216,200.7,14/01/2018 14:24:00,17/01/2018 06:45:59
429,8,200,291.36,14/01/2018 15:00:00,17/01/2018 02:35:38
431,7,271,433.38,14/01/2018 16:12:00,16/01/2018 16:48:00
432,11,375,155.52,14/01/2018 16:48:00,16/01/2018 08:17:47
433,9,168,197.28,14/01/2018 17:24:00,16/01/2018 14:33:45
434,7,368,88.73,14/01/2018 18:00:00,16/01/2018 08:07:52
435,8,35,302.3,14/01/2018 18:36:00,15/01/2018 19:18:11
436,8,311,48.65,14/01/2018 19:12:00,17/01/2018 01:46:56
438,5,73,26.37,14/01/2018 20:24:00,15/01/2018 21:31:39
439,2,362,178.71,14/01/2018 21:00:00,16/01/2018 01:44:28
440,7,22,155.96,14/01/2018 21:36:00,16/01/2018 01:19:18
441,13,154,73.67,14/01/2018 22:12:00,16/01/2018 19:38:30
442,1,99,392.22,14/01/2018 22:48:00,16/01/2018 19:24:26
444,14,51,352.84,15/01/2018 00:00:00,16/01/2018 00:34:04
445,11,104,328.56,15/01/2018 00:37:00,16/01/2018 18:01:30
446,10,95,439.22,15/01/2018 01:14:00,16/01/2018 05:28:48
447,12,281,380.28,15/01/2018 01:51:00,16/01/2018 21:54:14
448,2,250,317.75,15/01/2018 02:28:00,16/01/2018 18:44:28
455,9,35,435.1,15/01/2018 06:47:00,17/01/2018 15:47:43
456,11,238,35.09,15/01/2018 07:24:00,16/01/2018 08:21:51
457,14,390,210.35,15/01/2018 08:01:00,16/01/2018 17:49:54
460,9,199,27.92,15/01/2018 09:52:00,16/01/2018 18:36:33
462,8,109,186.51,15/01/2018 11:06:00,16/01/2018 12:16:07
463,9,12,95.17,15/01/2018 11:43:00,17/01/2018 15:22:38
465,4,36,71.61,15/01/2018 12:57:00,16/01/2018 13:11:58
466,3,200,287.71,15/01/2018 13:34:00,17/01/2018 01:02:12
467,13,339,187.28,15/01/2018 14:11:00,17/01/2018 20:22:37
468,14,297,120.1,15/01/2018 14:48:00,16/01/2018 20:24:51
469,11,110,29.03,15/01/2018 15:25:00,17/01/2018 08:07:50
471,3,210,174.67,15/01/2018 16:39:00,17/01/2018 01:26:48
472,5,285,142.09,15/01/2018 17:16:00,17/01/2018 22:03:16
473,14,203,228.7,15/01/2018 17:53:00,17/01/2018 11:19:27
476,4,355,369.21,15/01/2018 19:44:00,17/01/2018 03:37:59
477,9,317,348.38,15/01/2018 20:21:00,17/01/2018 08:02:17
479,13,304,322.26,15/01/2018 21:35:00,18/01/2018 01:21:54
480,2,315,178.89,15/01/2018 22:12:00,17/01/2018 13:23:21
501,7,273,171.98,16/01/2018 10:27:00,
506,7,303,157.23,16/01/2018 13:12:00,
507,10,233,193.01,16/01/2018 13:45:00,
509,14,146,393.34,16/01/2018 14:51:00,
523,9,82,213.63,16/01/2018 22:33:00,
